Starting
Starting
Stepper Pin:14
1073494588
1073494252
    F_CPU=240000000
    TICKS_PER_S=16000000
.Connected to Wifi, Connecting to server.
Connected!
1.11,-8
1.20,-9
1.24,-11
1.17,-12
1.23,-13
1.14,-15
1.20,-16
1.22,-17
1.30,-19
1.09,-20
1.16,-21
1.26,-23
1.11,-24
1.22,-25
1.18,-26
1.20,-28
1.13,-29
1.28,-30
1.38,-32
1.14,-33
1.19,-34
1.02,-36
1.04,-37
1.24,-38
1.19,-40
1.22,-41
1.05,-42
1.18,-44
1.20,-45
1.26,-46
1.04,-47
0.14,-49
0.13,-50
1.00,-51
1.21,-53
1.16,-54
1.18,-55
1.21,-57
1.23,-58
1.15,-59
1.24,-61
1.08,-62
1.23,-63
1.21,-65
1.17,-66
1.10,-67
1.08,-69
1.24,-70
1.23,-71
1.22,-72
1.10,-74
1.26,-75
1.05,-76
1.09,-78
1.21,-79
1.20,-80
1.21,-82
1.06,-83
1.10,-84
1.15,-86
1.12,-87
1.15,-88
1.15,-90
1.14,-91
1.03,-92
1.04,-93
1.05,-95
1.14,-96
1.29,-97
0.89,-99
0.05,-100
0.03,-101
1.01,-103
1.20,-104
1.15,-105
1.05,-107
1.32,-108
1.21,-109
1.06,-111
1.10,-112
1.12,-113
1.29,-115
1.23,-116
1.09,-117
1.10,-118
1.04,-120
1.08,-121
1.26,-122
1.04,-124
1.22,-125
1.12,-126
1.22,-128
1.18,-129
1.14,-130
1.17,-132
1.14,-133
1.14,-134
1.10,-135
1.17,-137
1.21,-138
1.18,-139
1.15,-141
1.06,-142
1.07,-143
1.08,-145
1.17,-146
1.26,-147
1.12,-149
0.71,-150
0.17,-151
0.07,-153
1.00,-154
1.06,-155
1.23,-157
1.13,-158
0.93,-159
1.23,-160
0.99,-162
1.11,-163
1.23,-164
1.19,-166
1.13,-167
1.07,-168
1.16,-170
1.14,-171
1.18,-172
1.28,-174
1.03,-175
1.18,-176
1.15,-178
1.18,-179
1.16,-180
1.25,-181
1.13,-183
1.12,-184
1.15,-185
1.11,-187
1.17,-188
1.24,-189
1.17,-191
1.10,-192
1.14,-193
1.13,-195
1.09,-196
1.18,-197
1.25,-199
1.05,-200
0.89,-201
0.05,-202
0.02,-204
1.09,-205
1.28,-206
1.10,-208
0.98,-209
1.29,-210
1.19,-212
1.21,-213
1.15,-214
1.25,-216
1.13,-217
1.14,-218
1.16,-220
1.17,-221
1.12,-222
1.25,-224
1.10,-225
1.20,-226
1.24,-227
1.27,-229
1.33,-230
1.28,-231
1.13,-233
1.18,-234
1.18,-235
1.16,-237
1.08,-238
1.23,-239
1.22,-241
1.10,-242
1.18,-243
1.24,-245
0.96,-246
1.20,-247
1.25,-248
1.05,-250
1.05,-251
0.73,-252
-0.07,-254
-0.01,-255
1.25,-256
1.17,-258
1.06,-259
1.24,-260
0.98,-262
1.05,-263
1.22,-264
1.32,-266
1.12,-267
1.11,-268
1.11,-270
1.14,-271
1.19,-272
1.24,-273
1.20,-275
1.18,-276
1.09,-277
1.25,-279
1.27,-280
1.30,-281
1.14,-283
1.10,-284
1.05,-285
1.09,-287
1.12,-288
1.20,-289
1.37,-291
1.20,-292
