Starting
Starting
Stepper Pin:14
1073494584
1073494248
    F_CPU=240000000
    TICKS_PER_S=16000000
.E (1980) wifi:Association refused temporarily, comeback time 299 mSec
E (2285) wifi:Association refused temporarily, comeback time 299 mSec
.E (2592) wifi:Association refused temporarily, comeback time 299 mSec
E (2897) wifi:Association refused temporarily, comeback time 299 mSec
E (3204) wifi:Association refused temporarily, comeback time 299 mSec
.E (3510) wifi:Association refused temporarily, comeback time 299 mSec
E (3816) wifi:Association refused temporarily, comeback time 299 mSec
E (4120) wifi:Association refused temporarily, comeback time 299 mSec
.Connected to Wifi, Connecting to server.
Connected!
1.18,-9
0.94,-11
-0.01,-12
0.06,-14
1.08,-16
1.03,-17
1.14,-18
1.14,-20
1.18,-21
1.06,-23
1.20,-24
1.09,-26
1.06,-27
1.06,-29
1.21,-30
1.15,-32
0.95,-33
1.14,-35
1.11,-36
1.04,-38
1.26,-39
1.03,-41
1.09,-42
1.06,-44
1.19,-45
1.17,-47
1.01,-48
1.10,-50
1.06,-51
1.21,-53
1.16,-54
1.16,-55
0.98,-57
1.13,-58
1.09,-60
1.13,-61
0.49,-63
0.18,-64
0.41,-66
1.07,-67
1.01,-69
1.32,-70
1.13,-72
1.16,-73
1.05,-75
1.22,-76
1.10,-78
1.00,-79
1.22,-81
1.03,-82
1.11,-84
0.93,-85
1.07,-87
1.07,-88
1.04,-90
1.19,-91
1.09,-93
1.05,-94
1.15,-96
0.99,-97
1.08,-99
1.06,-100
1.02,-101
0.98,-103
0.94,-104
1.10,-106
1.19,-107
1.07,-109
1.17,-110
1.11,-112
1.08,-113
-0.04,-115
0.01,-116
0.88,-118
1.17,-119
0.95,-121
1.25,-122
1.01,-124
0.97,-125
0.99,-127
1.20,-128
1.09,-130
1.14,-131
1.18,-133
1.11,-134
1.05,-136
1.04,-137
1.08,-139
1.12,-140
1.23,-142
0.97,-143
1.21,-145
1.05,-146
1.12,-148
0.99,-149
1.16,-150
1.13,-152
1.15,-153
1.10,-155
1.25,-156
1.23,-158
0.98,-159
1.11,-161
1.15,-162
1.19,-164
0.50,-165
-0.01,-167
0.45,-168
1.13,-170
1.23,-171
1.03,-173
1.14,-174
1.01,-176
1.03,-177
1.20,-179
1.07,-180
1.17,-182
1.08,-183
1.05,-185
1.08,-186
1.15,-188
1.13,-189
1.11,-191
0.90,-192
1.10,-194
1.05,-195
1.07,-197
1.20,-198
1.07,-199
1.05,-201
1.13,-202
1.08,-204
1.05,-205
1.07,-207
1.09,-208
0.86,-210
1.16,-211
1.11,-213
1.18,-214
1.11,-216
-0.08,-217
-0.05,-219
1.07,-220
1.04,-222
0.98,-223
1.06,-225
1.16,-226
0.99,-228
1.04,-229
1.06,-231
1.00,-232
0.98,-234
1.20,-235
1.16,-237
1.14,-238
1.09,-240
1.08,-241
1.09,-243
0.88,-244
1.17,-246
1.04,-247
1.20,-248
1.17,-250
1.05,-251
1.08,-253
1.17,-254
0.99,-256
1.08,-257
1.12,-259
0.99,-260
1.02,-262
1.11,-263
1.08,-265
1.05,-266
0.45,-268
-0.04,-269
0.50,-271
1.12,-272
1.04,-274
1.13,-275
1.17,-277
1.12,-278
1.14,-280
0.93,-281
1.04,-283
1.16,-284
1.04,-286
1.07,-287
1.09,-289
1.05,-290
1.05,-292
1.06,-293
1.09,-294
1.13,-296
1.19,-297
0.91,-299
1.04,-300
0.93,-302
1.03,-303
1.13,-305
1.03,-306
1.06,-308
1.20,-309
1.04,-311
1.23,-312
1.03,-314
1.11,-315
1.09,-317
0.99,-318
0.03,-320
-0.06,-321
0.92,-323
1.06,-324
1.15,-326
1.05,-327
1.07,-329
1.02,-330
1.14,-332
1.04,-333
0.94,-335
0.97,-336
0.98,-338
1.05,-339
1.32,-341
0.98,-342
1.07,-343
1.08,-345
1.06,-346
0.97,-348
1.17,-349
0.95,-351
1.05,-352
1.13,-354
0.96,-355
1.15,-357
1.10,-358
1.15,-360
1.01,-361
0.98,-363
1.08,-364
1.15,-366
1.13,-367
1.05,-369
0.40,-370
0.04,-372
0.21,-373
1.07,-375
1.11,-376
1.05,-378
1.03,-379
1.15,-381
1.09,-382
1.08,-384
0.92,-385
1.10,-387
1.00,-388
1.21,-389
1.11,-391
1.03,-392
1.01,-394
1.16,-395
1.02,-397
1.20,-398
1.03,-400
1.17,-401
1.25,-403
1.16,-404
1.17,-406
1.05,-407
0.96,-409
1.15,-410
1.14,-412
1.11,-413
1.32,-415
1.10,-416
1.11,-418
1.03,-419
1.01,-421
-0.02,-422
0.11,-424
-0.17,-425
-0.02,-427
0.98,-428
1.18,-430
1.07,-431
1.18,-433
0.98,-434
1.10,-436
0.93,-437
1.09,-439
1.24,-440
1.35,-441
1.07,-443
1.04,-444
0.91,-446
1.12,-447
1.15,-449
1.26,-450
1.10,-452
1.05,-453
1.15,-455
1.09,-456
1.13,-458
1.09,-459
1.15,-461
1.04,-462
1.18,-464
1.07,-465
1.05,-467
1.12,-468
1.12,-470
1.00,-471
0.60,-473
-0.03,-474
0.54,-476
1.07,-477
1.21,-479
1.20,-480
1.05,-482
0.97,-483
1.15,-485
1.00,-486
1.19,-488
1.01,-489
1.20,-490
1.05,-492
1.02,-493
1.15,-495
1.22,-496
0.95,-498
1.17,-499
1.03,-501
1.08,-502
1.12,-504
1.19,-505
1.10,-507
1.11,-508
1.09,-510
1.12,-511
1.14,-513
1.17,-514
1.10,-516
1.13,-517
1.08,-519
1.08,-520
1.18,-522
0.86,-523
0.09,-525
0.01,-526
-0.08,-527
0.07,-529
0.03,-530
0.03,-532
0.17,-533
0.04,-535
0.03,-536
0.08,-538
0.07,-539
0.05,-541
0.10,-542
-0.04,-544
-0.10,-545
0.08,-547
0.09,-548
-0.05,-549
-0.09,-551
-0.11,-552
0.04,-554
-0.06,-555
-0.21,-557
-0.06,-558
-0.05,-560
0.06,-561
-0.02,-563
-0.09,-564
0.02,-566
-0.11,-567
0.07,-569
-0.07,-570
0.09,-571
0.14,-573
0.07,-574
0.03,-576
-0.04,-577
1.04,-579
1.04,-580
1.11,-582
1.14,-583
1.01,-585
1.25,-586
1.07,-588
1.14,-589
1.18,-591
1.11,-592
1.15,-594
1.34,-595
1.16,-597
1.18,-598
1.10,-600
1.07,-601
1.01,-603
1.21,-604
1.02,-606
1.10,-607
1.23,-609
1.09,-610
1.04,-611
0.86,-613
1.09,-614
0.94,-616
1.06,-617
1.06,-619
1.21,-620
1.06,-622
1.21,-623
1.02,-625
0.24,-626
0.01,-628
0.72,-629
1.00,-631
1.13,-632
1.00,-634
1.08,-635
1.01,-637
1.10,-638
1.16,-640
1.04,-641
1.07,-643
1.02,-644
1.23,-646
1.12,-647
1.11,-649
1.09,-650
1.11,-652
1.07,-653
1.08,-655
1.14,-656
1.14,-657
0.96,-659
1.08,-660
0.90,-662
1.08,-663
1.01,-665
1.09,-666
1.04,-668
1.04,-669
1.21,-671
1.06,-672
1.06,-674
1.06,-675
1.06,-677
0.02,-678
-0.11,-680
1.10,-681
1.13,-683
1.28,-684
1.11,-686
1.12,-687
1.16,-689
1.11,-690
1.03,-692
1.18,-693
1.17,-695
1.14,-696
1.09,-698
1.07,-699
1.18,-701
1.05,-702
1.09,-704
1.02,-705
1.15,-706
0.98,-708
0.93,-709
1.11,-711
1.09,-712
1.09,-714
1.11,-715
0.97,-717
1.23,-718
1.10,-720
1.15,-721
1.10,-723
1.06,-724
1.16,-726
1.01,-727
0.17,-729
0.06,-730
0.65,-732
1.04,-733
1.07,-735
1.12,-736
0.98,-738
1.21,-739
0.96,-741
1.00,-742
1.32,-744
1.02,-745
1.10,-747
1.09,-748
1.13,-750
1.08,-751
1.10,-753
1.11,-754
0.97,-755
1.09,-757
1.04,-758
1.07,-760
1.13,-761
1.04,-763
1.21,-764
1.06,-766
1.06,-767
1.05,-769
1.00,-770
1.16,-772
1.13,-773
1.05,-775
1.02,-776
1.10,-778
0.75,-779
0.05,-781
0.13,-782
1.07,-784
1.13,-785
1.00,-787
0.95,-788
1.14,-790
1.06,-791
1.01,-793
1.02,-794
0.97,-796
1.10,-797
1.03,-799
1.03,-800
1.07,-801
1.19,-803
1.09,-804
1.09,-806
1.01,-807
0.97,-809
1.22,-810
1.08,-812
1.10,-813
1.19,-815
1.25,-816
1.00,-818
1.09,-819
1.20,-821
1.14,-822
1.16,-824
1.11,-825
1.06,-827
1.11,-828
0.99,-830
0.39,-831
0.04,-833
0.59,-834
1.26,-836
1.06,-837
1.23,-839
1.15,-840
1.12,-842
0.99,-843
1.26,-845
